ref,commission_percent,station_distance,rent,pub_date,pub_time,studio,n_rooms,area,floor,n_floors,n_days,mcc,circle,center_distance,parsing_date,y
/moskva/kvartiry/2-k_kvartira_49_m_912_et._1938669300,,7,43.0,2020-07-30,,0,2,49,9,12,6,0,0,16.91850951108148,2020-08-04,0.8775510204081632
/moskva/kvartiry/2-k_kvartira_40_m_512_et._1954825505,40,26,30.0,2020-07-30,,0,2,40,5,12,6,0,0,16.677312176056162,2020-08-04,0.75
/moskva/kvartiry/1-k_kvartira_40_m_23_et._1837008474,50,21,18.5,2020-07-30,,0,1,40,2,3,7,0,0,12.833674364295671,2020-08-04,0.4625
/moskva/kvartiry/3-k_kvartira_70_m_36_et._1860526650,60,9,60.0,2020-07-31,,0,3,70,3,6,5,0,0,10.783910412519429,2020-08-04,0.8571428571428571
/moskva/kvartiry/4-k_kvartira_130_m_46_et._1238363297,0,4,250.0,2020-07-31,,0,4,130,4,6,5,0,0,2.350441672322792,2020-08-04,1.9230769230769231
/moskva/kvartiry/1-k_kvartira_30_m_35_et._775654947,,3,30.0,2020-08-03,,0,1,30,3,5,4,0,0,12.37597295337994,2020-08-04,1.0
/moskva/kvartiry/1-k_kvartira_37_m_212_et._1792381346,40,16,36.0,2020-08-01,,0,1,37,2,12,4,0,0,10.34751529893556,2020-08-04,0.972972972972973
/moskva/kvartiry/1-k_kvartira_35.8_m_1114_et._1817264607,50,18,27.0,2020-07-30,,0,1,36,11,14,6,0,0,13.58360839238828,2020-08-04,0.75
/moskva/kvartiry/2-k_kvartira_61_m_610_et._1651476983,80,5,55.0,2020-07-30,,0,2,61,6,10,6,0,0,6.226988803128491,2020-08-04,0.9016393442622951
/moskva/kvartiry/1-k_kvartira_36_m_1112_et._1892719926,0,2,59.0,2020-07-31,,0,1,36,11,12,5,0,0,2.04826394173432,2020-08-04,1.6388888888888888
/moskva/kvartiry/2-k_kvartira_65_m_711_et._1926130451,0,8,75.0,2020-07-31,,0,2,65,7,11,5,0,0,1.7610692492100228,2020-08-04,1.1538461538461537
/moskva/kvartiry/2-k_kvartira_55_m_712_et._1980409014,50,6,55.0,2020-07-30,,0,2,55,7,12,6,0,0,14.517695813647885,2020-08-04,1.0
/moskva/kvartiry/1-k_kvartira_39_m_1116_et._1960136979,,9,30.0,2020-07-29,,0,1,39,11,16,7,0,0,9.207817966979363,2020-08-04,0.7692307692307693
/moskva/kvartiry/3-k_kvartira_81_m_25_et._1890497697,50,7,46.0,2020-07-28,,0,3,81,2,5,8,0,0,9.372435489307756,2020-08-04,0.5679012345679012
/moskva/kvartiry/2-k_kvartira_67_m_217_et._974274835,60,4,40.0,2020-07-21,,0,2,67,2,17,15,0,0,20.28006401482817,2020-08-04,0.5970149253731343
/moskva/kvartiry/1-k_kvartira_38_m_414_et._1981346853,50,6,30.0,2020-08-01,,0,1,38,4,14,4,1,0,9.817814863464967,2020-08-04,0.7894736842105263
/moskva/kvartiry/1-k_kvartira_34_m_29_et._1118075982,40,10,32.0,2020-07-28,,0,1,34,2,9,14,0,0,13.35746983723144,2020-08-04,0.9411764705882353
/moskva/kvartiry/studiya_20.9_m_1117_et._1954372578,50,17,20.0,2020-07-28,,1,1,21,11,17,8,0,0,20.28006401482817,2020-08-04,0.9523809523809523
/moskva/kvartiry/1-k_kvartira_50_m_112_et._258940190,,15,27.0,2020-07-21,,0,1,50,1,12,15,0,0,14.058448527939985,2020-08-04,0.54
/moskva/kvartiry/2-k_kvartira_55_m_416_et._1966405373,25,8,28.0,2020-07-31,,0,2,55,4,16,6,0,0,17.235261090401206,2020-08-04,0.509090909090909
/moskva/kvartiry/1-k_kvartira_48_m_217_et._1770782689,,6,40.0,2020-07-31,,0,1,48,2,17,5,0,0,16.18460293813983,2020-08-04,0.8333333333333334
/moskva/kvartiry/2-k_kvartira_110_m_59_et._1082617968,0,6,115.0,2020-08-02,,0,2,110,5,9,3,0,0,6.1962879695970425,2020-08-04,1.0454545454545454
/moskva/kvartiry/2-k_kvartira_47_m_112_et._1964093269,30,11,38.0,2020-08-01,,0,2,47,1,12,4,0,0,17.749787002559334,2020-08-04,0.8085106382978723
/moskva/kvartiry/4-k_kvartira_130_m_77_et._1972538647,0,7,170.0,2020-07-30,,0,4,130,7,7,6,0,0,1.0920233664001546,2020-08-04,1.3076923076923077
/moskva/kvartiry/2-k_kvartira_52_m_1418_et._1888013058,50,12,40.0,2020-07-21,,0,2,52,14,18,15,1,0,7.377513511565585,2020-08-04,0.7692307692307693
/moskva/kvartiry/1-k_kvartira_39_m_217_et._1958343490,50,13,29.0,2020-07-21,,0,1,39,2,17,15,0,0,15.523108364057276,2020-08-04,0.7435897435897436
/moskva/kvartiry/1-k_kvartira_38_m_1012_et._1976454129,,7,35.0,2020-07-28,,0,1,38,10,12,12,0,0,14.274933458415227,2020-08-04,0.9210526315789473
/moskva/kvartiry/3-k_kvartira_96_m_1315_et._1946755640,0,5,110.0,2020-07-31,,0,3,96,13,15,5,0,0,8.197599186388118,2020-08-04,1.1458333333333333
/moskva/kvartiry/4-k_kvartira_120_m_1217_et._1972517269,35,4,75.0,2020-07-28,,0,4,120,12,17,8,0,0,16.591847168959653,2020-08-04,0.625
/moskva/kvartiry/3-k_kvartira_66_m_416_et._1159226663,,7,52.0,2020-07-30,,0,3,66,4,16,6,0,0,15.656473583949358,2020-08-04,0.7878787878787878
/moskva/kvartiry/1-k_kvartira_36_m_714_et._1951524310,100,8,38.0,2020-07-31,,0,1,36,7,14,5,0,0,16.5081390984448,2020-08-04,1.0555555555555556
