,lat,lng,line,center_distance,mcc,circle
Текстильщики,55.708934,37.731283,МЦД - 2,8.853363046289289,0,0
Телецентр,55.821795,37.608975,Монорельс,7.354380622904139,0,0
Теплый Стан,55.61873,37.505912,Калужско-Рижская,16.81172600601682,0,0
Тестовская,55.754292,37.531551,МЦД - 1,5.405080797365198,0,0
Технопарк,55.695,37.664167,Замоскворецкая,7.387032237319363,0,0
Тимирязевская,55.81866,37.574498,МЦД - 1,7.490292618174948,0,0
Третьяковская,55.74073,37.625624,Калужско-Рижская,1.7647730473566627,0,0
Трикотажная,55.4959,37.2354,МЦД - 2,37.652163755770914,0,0
Тропарево,55.6459,37.4725,Сокольническая,15.27274846275611,0,0
Трубная,55.76771,37.621926,Люблинско-Дмитровская,1.3407152675992835,0,0
Тульская,55.70961,37.622569,Серпуховско-Тимирязевская,5.16538661677811,0,0
Тургеневская,55.765371,37.636732,Калужско-Рижская,1.5973987917180035,0,0
Тушинская,55.825479,37.437024,МЦД - 2,13.721343219565922,0,0
Угрешская,55.718333,37.697778,МЦК,6.548618882080545,1,0
Улица 1905 года,55.763944,37.562271,Таганско-Краснопресненская,3.585903480779788,0,0
Улица Академика Королёва,55.821821,37.627167,Монорельс,7.361956342132375,0,0
Улица Академика Янгеля,55.596753,37.601498,Серпуховско-Тимирязевская,17.749787002559337,0,0
Улица Горчакова,55.542281,37.532063,Бутовская,24.387314519709967,0,0
Улица Дмитриевского,55.7093,37.8792,Некрасовская,17.235261090401206,0,0
Улица Милашенкова,55.821876,37.591206,Монорельс,7.52771766983219,0,0
Улица Сергея Эйзенштейна,55.829305,37.644997,Монорельс,8.34956664678283,0,0
Улица Скобелевская,55.548103,37.552721,Бутовская,23.494892776656886,0,0
Улица Старокачаловская,55.569194,37.576074,Бутовская,20.952695053002852,0,0
Университет,55.69329,37.534511,Сокольническая,8.710491973192113,0,0
Филатов луг,55.5997,37.4075,Сокольническая,21.844771913754492,0,0
Филевский парк,55.739665,37.483902,Филевская,8.588168507674624,0,0
Фили,55.744263,37.514526,МЦД - 1,6.600650082278796,0,0
Фонвизинская,55.822778,37.588056,Люблинско-Дмитровская,7.671028377203212,0,0
Фрунзенская,55.727462,37.58022,Сокольническая,3.9429748736368015,0,0
Хлебниково,55.970682,37.504638,МЦД - 1,24.935486985838548,0,0
Ховрино,55.8777,37.4877,Замоскворецкая,15.815910794687333,0,0
Хорошево,55.777222,37.507222,МЦК,7.322328380518757,1,0
Хорошевская,55.77643,37.51981,Большая кольцевая линия,6.548568484671066,0,0
ЦСКА,55.78643,37.53502,Большая кольцевая линия,6.196287969597043,0,0
Царицыно,55.618309,37.668846,МЦД - 2,15.656473583949358,0,0
Цветной бульвар,55.771653,37.620466,Серпуховско-Тимирязевская,1.7610692492100228,0,0
Черкизовская,55.802787,37.744863,Сокольническая,9.539817802472049,0,0
Чертановская,55.640538,37.606065,Серпуховско-Тимирязевская,12.86651739103494,0,0
